epoch,train_loss,val_loss
1,0.19192506024241449,0.01411088989698328
2,0.012418460108339786,0.012379268038785085
3,0.012184618853032589,0.012213251291541383
4,0.011875800013542175,0.011751463083783165
5,0.011351222641766072,0.011178620072314516
6,0.010766671646386386,0.010560344759142026
7,0.010092352278530599,0.009813888493226841
8,0.009266655832529069,0.00891412899363786
9,0.008431745413690805,0.008168450935045257
10,0.007800861794501543,0.007621019729413092
11,0.007314369380474091,0.007204633409855887
12,0.006999311681836843,0.006947134272195399
13,0.00678460293635726,0.006760742558981292
14,0.006611949421465397,0.006597744606551714
15,0.006449872974306345,0.006435201008571312
16,0.006292145244777203,0.006306452822173014
17,0.006141065971925854,0.006122673366917297
18,0.005990058792755008,0.005972389873932116
19,0.005843331025913358,0.005825703978189267
20,0.005700601868331432,0.005685745825758204
21,0.005567038811743259,0.00559049601724837
22,0.00544508302770555,0.005431450619653333
23,0.005330943048000336,0.005323571887856815
24,0.005230193383991718,0.005240462647634558
25,0.005139134712517261,0.005150167096871883
26,0.005061064895242453,0.005068175327323843
27,0.004987300027161836,0.004997782947611995
28,0.004919616709463298,0.00493906201882055
29,0.004863780638203025,0.004890454751148354
30,0.004815124658867717,0.004846645766519941
31,0.00477386942692101,0.004811569262528792
32,0.004738367050886154,0.004785289114806801
33,0.004706970466300845,0.004753165449074004
34,0.0046769401608034965,0.004728176456410438
35,0.004651904789730907,0.0047105885605560616
36,0.004630950080230832,0.004695093593909405
37,0.004611560923978687,0.004671531904023141
38,0.004592622172087431,0.004654205731640104
39,0.0045768489502370354,0.004641405699658208
40,0.00456449874304235,0.004630440773325972
41,0.0045515866465866564,0.004618202437995933
42,0.004545720141381025,0.004609905488905497
43,0.004533215655013919,0.004602835018886253
44,0.004522571016103029,0.004591143770085182
45,0.004514885142445565,0.0045830921226297505
46,0.0045047739557921886,0.00458437926863553
47,0.004496194189414382,0.004567570686049294
48,0.004488881962373853,0.004556319632683881
49,0.004477532064542175,0.004544772076769732
50,0.004467362657189369,0.004535501160717104
51,0.004452784825116396,0.0045183468027971685
52,0.004444797358475625,0.004517134795605671
53,0.004429673489183187,0.004494492612138856
54,0.004419688465073705,0.00448149044677848
55,0.00440786935761571,0.0044725625339196995
56,0.004397882143035531,0.004455725553270895
57,0.004384584099054336,0.004445620172191411
58,0.00437361971847713,0.004431826193467714
59,0.004364020150154829,0.004421404642926063
60,0.004353648932650686,0.0044093477190472186
61,0.00434474003687501,0.004397177675855346
62,0.004334052732214331,0.004392404502141289
63,0.004324032846838236,0.0043759287655120715
64,0.004312896493822336,0.004369454247353133
65,0.004306552513502538,0.004356692952569574
66,0.004296580580994486,0.0043576844182098284
67,0.004289708480238914,0.004333006494562142
68,0.004277284986339509,0.004324891764554195
69,0.004266338234767318,0.0043095258879475296
70,0.004256972757168114,0.004320461208408233
71,0.004246827384456992,0.004285345450625755
72,0.004237353367730975,0.004280161454516929
73,0.0042283542826771735,0.0043317458548699506
74,0.004220113215968013,0.0042483091237954795
75,0.004200267896056175,0.004228630030411296
76,0.004181367484852672,0.004204628596198745
77,0.004160049395635724,0.004173082510533277
78,0.004133596189320087,0.004145817918470129
79,0.004107902001589537,0.004110658075660467
80,0.004089799294248223,0.004081529630639125
81,0.004060297464951873,0.004052876589412335
82,0.0040405610166490075,0.004030724725453183
83,0.004016778672114015,0.004002718422270846
84,0.003997263950295747,0.003981966983701568
85,0.003978814551606774,0.003951969039917458
86,0.0039652884155511854,0.0039423247435479425
87,0.003952398017048836,0.0039160487067420036
88,0.003939083747565747,0.0039044461518642493
89,0.003927597898989916,0.0038903489912627265
90,0.00391944033652544,0.0038785138895036653
91,0.0039114348012954,0.0038667326953145675
92,0.0039050826253369452,0.0038587028175243177
93,0.003899308681488037,0.0038718503928976133
94,0.003893568861298263,0.00385502862627618
95,0.00388509407825768,0.0038375582225853577
96,0.0038798109339550136,0.0038412594512919895
97,0.003877532819285989,0.0038282681489363313
98,0.0038728853575885295,0.003816129654296674
99,0.0038665218744426966,0.0038112767579150386
100,0.003862535242922604,0.0038084227708168328
101,0.003857254802249372,0.003802942024776712
102,0.00385284329764545,0.0037972942227497697
103,0.003850099304690957,0.003797870347625576
104,0.0038458886509761215,0.0037906256620772183
105,0.0038453500848263504,0.003787554996961262
106,0.0038413619529455902,0.003787505345826503
107,0.0038401802321895956,0.003813578725385014
108,0.0038368285140022635,0.0037808814013260417
109,0.003831405011937022,0.0037784731393912807
110,0.003830301197245717,0.0038030204159440473
111,0.00382615770585835,0.0037651635939255357
112,0.003823070985265076,0.0037626269113388844
113,0.0038223951663821937,0.003760333886020817
114,0.0038160488680005072,0.0037631152881658636
115,0.003813433254137635,0.0037535325027420186
116,0.0038108504544943573,0.0037534892398980446
117,0.003813835933804512,0.0037753351862193085
118,0.0038061050716787577,0.0037442298998939805
119,0.0038035857155919073,0.0037420673688757233
