filename,Bicubic_PSNR,Bicubic_MSE,Bicubic_SSIM,SRCNN_PSNR,SRCNN_MSE,SRCNN_SSIM
agricultural_0002_patch00070.png,24.1197,251.8305,0.5363,24.335,239.6498,0.5289
agricultural_0002_patch00071.png,23.7676,273.098,0.5181,24.0258,257.3342,0.5116
agricultural_0002_patch00072.png,23.319,302.8189,0.5146,23.5547,286.8209,0.5093
agricultural_0002_patch00073.png,23.2177,309.9661,0.5445,23.496,290.722,0.541
agricultural_0002_patch00074.png,23.2869,305.0619,0.5679,23.5064,290.0249,0.562
agricultural_0003_patch00075.png,24.7427,218.1764,0.5667,24.9206,209.4208,0.5697
agricultural_0003_patch00076.png,24.6265,224.0941,0.5397,24.8614,212.2936,0.5498
agricultural_0003_patch00077.png,24.7656,217.0301,0.5442,24.9878,206.207,0.5536
agricultural_0003_patch00078.png,24.9137,209.7553,0.5499,25.1436,198.9413,0.5614
agricultural_0003_patch00079.png,24.8815,211.3127,0.5556,25.13,199.561,0.5636
agricultural_0003_patch00080.png,24.0892,253.6049,0.4959,24.299,241.6493,0.5029
agricultural_0003_patch00081.png,24.0549,255.618,0.4963,24.2554,244.0867,0.5026
agricultural_0003_patch00082.png,24.2042,246.979,0.4987,24.3846,236.9295,0.5047
agricultural_0003_patch00083.png,24.3228,240.3282,0.4983,24.5324,229.0047,0.5097
agricultural_0003_patch00084.png,24.3603,238.2613,0.5033,24.5699,227.0338,0.5131
agricultural_0003_patch00085.png,23.5853,284.8054,0.4504,23.7709,272.8888,0.4542
agricultural_0003_patch00086.png,23.4777,291.9534,0.447,23.6367,281.455,0.4466
agricultural_0003_patch00087.png,23.5604,286.4432,0.4535,23.7559,273.8351,0.4567
agricultural_0003_patch00088.png,23.6052,283.5063,0.4544,23.7788,272.3985,0.4611
agricultural_0003_patch00089.png,23.7237,275.8726,0.4561,23.924,263.4377,0.4648
agricultural_0003_patch00090.png,23.6858,278.2921,0.4677,23.8315,269.1132,0.4639
agricultural_0003_patch00091.png,23.3507,300.614,0.4505,23.4996,290.4826,0.4444
agricultural_0003_patch00092.png,23.2415,308.2673,0.4504,23.3962,297.4798,0.4441
agricultural_0003_patch00093.png,23.0877,319.3855,0.441,23.2629,306.7569,0.4421
agricultural_0003_patch00094.png,23.1647,313.7724,0.4367,23.3515,300.5569,0.4393
agricultural_0003_patch00095.png,23.7703,272.9264,0.4856,23.944,262.2271,0.4781
agricultural_0003_patch00096.png,23.3889,297.9815,0.4723,23.5525,286.9667,0.4613
agricultural_0003_patch00097.png,23.0374,323.1022,0.4637,23.2096,310.5432,0.4524
agricultural_0003_patch00098.png,22.875,335.413,0.4511,23.0855,319.5421,0.4493
agricultural_0003_patch00099.png,22.86,336.5774,0.4337,23.1056,318.0707,0.4386
agricultural_0004_patch00100.png,26.8602,133.9851,0.8332,24.7246,219.088,0.7348
agricultural_0004_patch00101.png,26.9321,131.7869,0.8402,24.6762,221.542,0.7415
agricultural_0004_patch00102.png,26.8384,134.66,0.8489,24.4245,234.7612,0.7369
agricultural_0004_patch00103.png,27.2545,122.3566,0.8474,24.8891,210.9465,0.7342
agricultural_0004_patch00104.png,27.3644,119.3012,0.8528,24.9821,206.4766,0.7385
agricultural_0004_patch00105.png,26.8156,135.3698,0.8331,24.7479,217.9153,0.7364
agricultural_0004_patch00106.png,26.841,134.5807,0.8342,24.8277,213.9487,0.7376
agricultural_0004_patch00107.png,26.6054,142.0832,0.8342,24.3354,239.6308,0.7256
agricultural_0004_patch00108.png,26.9125,132.3825,0.8335,24.606,225.1522,0.7243
agricultural_0004_patch00109.png,26.9438,131.433,0.8417,24.7454,218.0415,0.7353
agricultural_0004_patch00110.png,26.2569,153.9533,0.8184,24.3991,236.1416,0.7263
agricultural_0004_patch00111.png,26.2291,154.9441,0.8172,24.4914,231.1771,0.7304
agricultural_0004_patch00112.png,26.3291,151.4166,0.8223,24.3312,239.862,0.7258
agricultural_0004_patch00113.png,26.5467,144.0155,0.8283,24.5016,230.6345,0.7287
agricultural_0004_patch00114.png,26.6881,139.403,0.8265,24.7063,220.0155,0.7275
agricultural_0004_patch00115.png,26.2508,154.1684,0.8173,24.2724,243.1321,0.7282
agricultural_0004_patch00116.png,26.1133,159.1284,0.814,24.4121,235.4352,0.7279
agricultural_0004_patch00117.png,26.0615,161.0388,0.8043,24.367,237.8946,0.7169
agricultural_0004_patch00118.png,26.0639,160.9499,0.8087,24.4008,236.049,0.7184
agricultural_0004_patch00119.png,26.0821,160.2774,0.8015,24.4957,230.9468,0.7149
agricultural_0004_patch00120.png,26.0308,162.1817,0.8117,24.3363,239.5792,0.7262
agricultural_0004_patch00121.png,25.8981,167.2142,0.8115,24.3932,236.4625,0.7273
agricultural_0004_patch00122.png,25.8318,169.7853,0.8047,24.3097,241.0509,0.7196
agricultural_0004_patch00123.png,25.777,171.9412,0.8019,24.1823,248.2279,0.7107
agricultural_0004_patch00124.png,25.7685,172.2767,0.7963,24.1449,250.3724,0.7024
agricultural_0005_patch00125.png,18.6951,878.1451,0.4639,20.9961,516.9732,0.6487
agricultural_0005_patch00126.png,18.6328,890.8347,0.4686,21.0154,514.6788,0.6571
agricultural_0005_patch00127.png,18.7311,870.9,0.4648,21.1702,496.6562,0.6602
agricultural_0005_patch00128.png,18.6926,878.6608,0.4651,21.1805,495.4856,0.6661
agricultural_0005_patch00129.png,18.5974,898.1387,0.479,21.1394,500.2007,0.6813
agricultural_0005_patch00130.png,18.7058,876.0004,0.4561,21.0482,510.8164,0.642
agricultural_0005_patch00131.png,18.773,862.5483,0.4612,21.2108,492.038,0.653
agricultural_0005_patch00132.png,19.0022,818.203,0.4783,21.454,465.2434,0.6731
agricultural_0005_patch00133.png,18.9698,824.3221,0.4704,21.4208,468.8116,0.6667
agricultural_0005_patch00134.png,18.8037,856.4711,0.4681,21.2617,486.3042,0.6604
agricultural_0005_patch00135.png,18.9241,833.0539,0.4457,21.3192,479.9159,0.6394
agricultural_0005_patch00136.png,19.0258,813.7604,0.4507,21.4421,466.5178,0.6436
agricultural_0005_patch00137.png,19.0847,802.8108,0.4588,21.5283,457.35,0.6516
agricultural_0005_patch00138.png,19.083,803.1142,0.462,21.5355,456.5892,0.6523
agricultural_0005_patch00139.png,18.956,826.9508,0.4494,21.3063,481.3336,0.6341
agricultural_0005_patch00140.png,19.3765,750.6374,0.4516,21.8642,423.3112,0.6554
agricultural_0005_patch00141.png,19.3667,752.3398,0.4609,21.8253,427.1178,0.6569
agricultural_0005_patch00142.png,19.2593,771.1734,0.4584,21.679,441.7578,0.6461
agricultural_0005_patch00143.png,19.2636,770.4146,0.4552,21.5619,453.8276,0.637
agricultural_0005_patch00144.png,19.2094,780.08,0.4445,21.4595,464.6564,0.6238
agricultural_0005_patch00145.png,19.6726,701.1658,0.4486,22.1766,393.9322,0.6553
agricultural_0005_patch00146.png,19.5649,718.7786,0.4557,21.9286,417.0791,0.6434
agricultural_0005_patch00147.png,19.2893,765.8551,0.4524,21.6094,448.8924,0.6335
agricultural_0005_patch00148.png,19.3557,754.2348,0.455,21.5875,451.1588,0.632
agricultural_0005_patch00149.png,19.1788,785.6068,0.4546,21.5034,459.9806,0.6383
