filename,PSNR,MSE,SSIM
agricultural_0004_patch00107.png,26.6054,142.0832,0.8342
agricultural_0004_patch00108.png,26.9125,132.3825,0.8335
agricultural_0004_patch00109.png,26.9438,131.433,0.8417
agricultural_0004_patch00110.png,26.2569,153.9533,0.8184
agricultural_0004_patch00111.png,26.2291,154.9441,0.8172
agricultural_0004_patch00112.png,26.3291,151.4166,0.8223
agricultural_0004_patch00113.png,26.5467,144.0155,0.8283
agricultural_0004_patch00114.png,26.6881,139.403,0.8265
agricultural_0004_patch00115.png,26.2508,154.1684,0.8173
agricultural_0004_patch00116.png,26.1133,159.1284,0.814
agricultural_0004_patch00117.png,26.0615,161.0388,0.8043
agricultural_0004_patch00118.png,26.0639,160.9499,0.8087
agricultural_0004_patch00119.png,26.0821,160.2774,0.8015
agricultural_0004_patch00120.png,26.0308,162.1817,0.8117
agricultural_0004_patch00121.png,25.8981,167.2142,0.8115
agricultural_0004_patch00122.png,25.8318,169.7853,0.8047
agricultural_0004_patch00123.png,25.777,171.9412,0.8019
agricultural_0004_patch00124.png,25.7685,172.2767,0.7963
agricultural_0005_patch00125.png,18.6951,878.1451,0.4639
agricultural_0005_patch00126.png,18.6328,890.8347,0.4686
agricultural_0005_patch00127.png,18.7311,870.9,0.4648
agricultural_0005_patch00128.png,18.6926,878.6608,0.4651
agricultural_0005_patch00129.png,18.5974,898.1387,0.479
agricultural_0005_patch00130.png,18.7058,876.0004,0.4561
agricultural_0005_patch00131.png,18.773,862.5483,0.4612
agricultural_0005_patch00132.png,19.0022,818.203,0.4783
agricultural_0005_patch00133.png,18.9698,824.3221,0.4704
agricultural_0005_patch00134.png,18.8037,856.4711,0.4681
agricultural_0005_patch00135.png,18.9241,833.0539,0.4457
agricultural_0005_patch00136.png,19.0258,813.7604,0.4507
agricultural_0005_patch00137.png,19.0847,802.8108,0.4588
agricultural_0005_patch00138.png,19.083,803.1142,0.462
agricultural_0005_patch00139.png,18.956,826.9508,0.4494
agricultural_0005_patch00140.png,19.3765,750.6374,0.4516
agricultural_0005_patch00141.png,19.3667,752.3398,0.4609
agricultural_0005_patch00142.png,19.2593,771.1734,0.4584
agricultural_0005_patch00143.png,19.2636,770.4146,0.4552
agricultural_0005_patch00144.png,19.2094,780.08,0.4445
agricultural_0005_patch00145.png,19.6726,701.1658,0.4486
agricultural_0005_patch00146.png,19.5649,718.7786,0.4557
agricultural_0005_patch00147.png,19.2893,765.8551,0.4524
agricultural_0005_patch00148.png,19.3557,754.2348,0.455
agricultural_0005_patch00149.png,19.1788,785.6068,0.4546
agricultural_0006_patch00150.png,19.4191,743.3041,0.4069
agricultural_0006_patch00151.png,19.6035,712.4148,0.4214
agricultural_0006_patch00152.png,19.8846,667.7648,0.4375
agricultural_0006_patch00153.png,19.8859,667.5586,0.4361
agricultural_0006_patch00154.png,19.544,722.2388,0.43
agricultural_0006_patch00155.png,19.438,740.0785,0.4084
agricultural_0006_patch00156.png,19.8276,676.5779,0.4336
agricultural_0006_patch00157.png,20.1033,634.9666,0.44
agricultural_0006_patch00158.png,20.0397,644.3352,0.4425
agricultural_0006_patch00159.png,19.5831,715.7704,0.4294
agricultural_0006_patch00160.png,19.4654,735.4362,0.4255
agricultural_0006_patch00161.png,19.8372,675.0808,0.4525
agricultural_0006_patch00162.png,20.0074,649.1462,0.4465
agricultural_0006_patch00163.png,19.861,671.3974,0.4453
agricultural_0006_patch00164.png,19.5528,720.7791,0.4412
agricultural_0006_patch00165.png,19.5335,723.9812,0.4419
agricultural_0006_patch00166.png,19.8527,672.688,0.4559
agricultural_0006_patch00167.png,19.8698,670.035,0.4471
agricultural_0006_patch00168.png,19.8184,678.0242,0.4491
agricultural_0006_patch00169.png,19.6012,712.7844,0.4596
agricultural_0006_patch00170.png,19.1596,789.0714,0.4416
agricultural_0006_patch00171.png,19.4189,743.3469,0.4468
agricultural_0006_patch00172.png,19.4945,730.5108,0.4464
agricultural_0006_patch00173.png,19.5688,718.1294,0.4542
agricultural_0006_patch00174.png,19.5154,727.0082,0.4766
agricultural_0007_patch00175.png,18.6536,886.5804,0.3827
agricultural_0007_patch00176.png,18.5837,900.9796,0.3776
agricultural_0007_patch00177.png,18.5856,900.5762,0.3709
agricultural_0007_patch00178.png,18.632,890.9953,0.3633
agricultural_0007_patch00179.png,18.478,923.1584,0.3685
agricultural_0007_patch00180.png,18.515,915.3322,0.3751
agricultural_0007_patch00181.png,18.5661,904.6382,0.3714
agricultural_0007_patch00182.png,18.5205,914.1863,0.3631
agricultural_0007_patch00183.png,18.4441,930.4056,0.3563
agricultural_0007_patch00184.png,18.3167,958.0911,0.3611
agricultural_0007_patch00185.png,18.5069,917.0474,0.376
agricultural_0007_patch00186.png,18.592,899.2426,0.367
agricultural_0007_patch00187.png,18.5618,905.5233,0.3576
agricultural_0007_patch00188.png,18.3888,942.3181,0.3599
agricultural_0007_patch00189.png,18.2265,978.2133,0.3627
agricultural_0007_patch00190.png,18.502,918.0873,0.3715
agricultural_0007_patch00191.png,18.587,900.2824,0.3627
agricultural_0007_patch00192.png,18.5563,906.681,0.3562
agricultural_0007_patch00193.png,18.3181,957.7938,0.3599
agricultural_0007_patch00194.png,18.2077,982.4572,0.3645
agricultural_0007_patch00195.png,18.5393,910.2348,0.371
agricultural_0007_patch00196.png,18.5818,901.3633,0.3575
agricultural_0007_patch00197.png,18.5251,913.2083,0.3504
agricultural_0007_patch00198.png,18.2954,962.8044,0.358
agricultural_0007_patch00199.png,18.2198,979.7184,0.3675
agricultural_0008_patch00200.png,17.7906,1081.4943,0.4583
agricultural_0008_patch00201.png,17.7236,1098.3074,0.4559
agricultural_0008_patch00202.png,17.7667,1087.4421,0.4621
agricultural_0008_patch00203.png,17.7358,1095.2188,0.4634
agricultural_0008_patch00204.png,17.7046,1103.1259,0.4682
agricultural_0008_patch00205.png,17.8031,1078.3676,0.4515
agricultural_0008_patch00206.png,17.8166,1075.0288,0.4498
agricultural_0008_patch00207.png,17.8079,1077.175,0.4496
agricultural_0008_patch00208.png,17.6719,1111.4462,0.4527
agricultural_0008_patch00209.png,17.6682,1112.3917,0.4621
agricultural_0008_patch00210.png,17.8783,1059.8661,0.4425
agricultural_0008_patch00211.png,17.9096,1052.265,0.4386
agricultural_0008_patch00212.png,17.8599,1064.3671,0.4412
agricultural_0008_patch00213.png,17.7415,1093.7762,0.4397
agricultural_0008_patch00214.png,17.7441,1093.1377,0.4484
agricultural_0008_patch00215.png,18.0377,1021.6611,0.4481
agricultural_0008_patch00216.png,18.063,1015.7399,0.4487
agricultural_0008_patch00217.png,17.9691,1037.9335,0.4511
agricultural_0008_patch00218.png,17.9693,1037.8909,0.4459
agricultural_0008_patch00219.png,18.0413,1020.812,0.4484
agricultural_0008_patch00220.png,18.2181,980.0974,0.4512
agricultural_0008_patch00221.png,18.1869,987.1761,0.4544
agricultural_0008_patch00222.png,18.2038,983.3339,0.4603
agricultural_0008_patch00223.png,18.2888,964.2643,0.4554
agricultural_0008_patch00224.png,18.3035,961.0078,0.4503
agricultural_0009_patch00225.png,16.9292,1318.7535,0.4536
agricultural_0009_patch00226.png,16.875,1335.302,0.4513
agricultural_0009_patch00227.png,16.7151,1385.3934,0.4475
agricultural_0009_patch00228.png,16.7722,1367.2831,0.4488
agricultural_0009_patch00229.png,16.8333,1348.1992,0.4561
agricultural_0009_patch00230.png,16.8901,1330.6578,0.4559
agricultural_0009_patch00231.png,16.8793,1333.9797,0.4473
agricultural_0009_patch00232.png,16.6863,1394.6125,0.4388
agricultural_0009_patch00233.png,16.8042,1357.2521,0.4428
agricultural_0009_patch00234.png,16.7573,1371.9805,0.4466
agricultural_0009_patch00235.png,16.9637,1308.3145,0.4558
agricultural_0009_patch00236.png,16.9075,1325.3403,0.4489
agricultural_0009_patch00237.png,16.7754,1366.27,0.4389
agricultural_0009_patch00238.png,16.7964,1359.692,0.436
agricultural_0009_patch00239.png,16.7424,1376.7024,0.4383
agricultural_0009_patch00240.png,16.8936,1329.5863,0.4557
agricultural_0009_patch00241.png,16.8014,1358.1278,0.45
agricultural_0009_patch00242.png,16.7855,1363.1191,0.4377
agricultural_0009_patch00243.png,16.7405,1377.3004,0.4343
agricultural_0009_patch00244.png,16.6872,1394.3031,0.4357
agricultural_0009_patch00245.png,16.8162,1353.4989,0.4557
agricultural_0009_patch00246.png,16.6976,1390.9685,0.4503
agricultural_0009_patch00247.png,16.7406,1377.2806,0.4421
agricultural_0009_patch00248.png,16.6975,1390.9952,0.4395
agricultural_0009_patch00249.png,16.6623,1402.3165,0.4424
agricultural_0010_patch00250.png,29.1173,79.6803,0.9349
agricultural_0010_patch00251.png,28.9617,82.5874,0.9363
agricultural_0010_patch00252.png,29.2454,77.3638,0.9401
agricultural_0010_patch00253.png,29.5106,72.7822,0.9437
agricultural_0010_patch00254.png,29.8839,66.787,0.9465
agricultural_0010_patch00255.png,30.184,62.327,0.9393
agricultural_0010_patch00256.png,30.582,56.8699,0.9477
agricultural_0010_patch00257.png,30.7767,54.3765,0.9536
agricultural_0010_patch00258.png,30.7259,55.0157,0.9545
agricultural_0010_patch00259.png,30.7065,55.2624,0.9529
agricultural_0010_patch00260.png,29.2562,77.1714,0.9268
agricultural_0010_patch00261.png,29.6638,70.2582,0.9376
agricultural_0010_patch00262.png,29.9925,65.1369,0.9479
agricultural_0010_patch00263.png,30.2172,61.8534,0.9534
agricultural_0010_patch00264.png,30.414,59.1123,0.9542
agricultural_0010_patch00265.png,29.0678,80.5937,0.9161
agricultural_0010_patch00266.png,29.6762,70.0584,0.9311
agricultural_0010_patch00267.png,29.9913,65.155,0.9432
agricultural_0010_patch00268.png,30.0469,64.3272,0.9514
agricultural_0010_patch00269.png,30.1105,63.3919,0.9547
agricultural_0010_patch00270.png,28.8673,84.4017,0.9173
agricultural_0010_patch00271.png,29.5608,71.9444,0.929
agricultural_0010_patch00272.png,30.0171,64.7698,0.9408
agricultural_0010_patch00273.png,30.3518,59.9659,0.9506
agricultural_0010_patch00274.png,30.1779,62.4151,0.9524
agricultural_0011_patch00275.png,27.8211,107.392,0.4372
agricultural_0011_patch00276.png,27.5894,113.2774,0.4116
agricultural_0011_patch00277.png,27.6174,112.5475,0.4244
agricultural_0011_patch00278.png,27.8476,106.7381,0.442
agricultural_0011_patch00279.png,27.8723,106.133,0.4404
agricultural_0011_patch00280.png,27.6764,111.0295,0.4227
agricultural_0011_patch00281.png,27.4613,116.668,0.4074
agricultural_0011_patch00282.png,27.745,109.291,0.432
agricultural_0011_patch00283.png,27.8982,105.5018,0.4427
agricultural_0011_patch00284.png,27.8744,106.0819,0.441
agricultural_0011_patch00285.png,27.6213,112.4483,0.418
agricultural_0011_patch00286.png,27.3916,118.5539,0.4093
agricultural_0011_patch00287.png,27.7656,108.7733,0.4316
agricultural_0011_patch00288.png,27.7603,108.9047,0.4294
agricultural_0011_patch00289.png,27.73,109.6689,0.4365
agricultural_0011_patch00290.png,27.6152,112.605,0.4263
agricultural_0011_patch00291.png,27.59,113.2623,0.4264
agricultural_0011_patch00292.png,27.8772,106.0141,0.436
agricultural_0011_patch00293.png,27.7979,107.9672,0.4343
agricultural_0011_patch00294.png,27.7254,109.7854,0.4401
agricultural_0011_patch00295.png,27.7064,110.2656,0.4363
agricultural_0011_patch00296.png,27.882,105.8955,0.4407
agricultural_0011_patch00297.png,27.8266,107.2566,0.429
agricultural_0011_patch00298.png,27.7204,109.9114,0.4402
agricultural_0011_patch00299.png,27.5947,113.1372,0.4423
agricultural_0012_patch00300.png,31.2843,48.3778,0.9335
agricultural_0012_patch00301.png,30.881,53.0863,0.9408
agricultural_0012_patch00302.png,30.0596,64.1385,0.94
agricultural_0012_patch00303.png,29.7667,68.6134,0.9373
agricultural_0012_patch00304.png,30.0708,63.9735,0.9368
agricultural_0012_patch00305.png,31.7043,43.9186,0.9299
agricultural_0012_patch00306.png,31.1372,50.0454,0.9335
agricultural_0012_patch00307.png,30.016,64.7855,0.9373
agricultural_0012_patch00308.png,29.1491,79.0998,0.9324
agricultural_0012_patch00309.png,29.2886,76.5988,0.9318
agricultural_0012_patch00310.png,30.8761,53.1461,0.9197
agricultural_0012_patch00311.png,31.0328,51.2621,0.9287
agricultural_0012_patch00312.png,30.3346,60.2026,0.9388
agricultural_0012_patch00313.png,29.7146,69.4422,0.9376
agricultural_0012_patch00314.png,29.7379,69.0697,0.9345
agricultural_0012_patch00315.png,31.0273,51.3278,0.9054
agricultural_0012_patch00316.png,31.3576,47.569,0.9184
agricultural_0012_patch00317.png,31.0322,51.2702,0.9409
agricultural_0012_patch00318.png,30.2435,61.4789,0.9425
agricultural_0012_patch00319.png,29.8054,68.0044,0.9286
agricultural_0012_patch00320.png,29.8527,67.2681,0.9039
agricultural_0012_patch00321.png,30.2395,61.5361,0.9155
agricultural_0012_patch00322.png,29.8825,66.8077,0.9284
agricultural_0012_patch00323.png,29.206,78.0685,0.9253
agricultural_0012_patch00324.png,28.8464,84.8095,0.9118
agricultural_0013_patch00325.png,21.0591,509.5292,0.4452
agricultural_0013_patch00326.png,20.9056,527.8675,0.4385
agricultural_0013_patch00327.png,20.8645,532.8827,0.431
agricultural_0013_patch00328.png,20.7825,543.0351,0.4296
agricultural_0013_patch00329.png,20.816,538.8606,0.4402
agricultural_0013_patch00330.png,20.9516,522.297,0.4473
agricultural_0013_patch00331.png,20.8665,532.6314,0.4331
agricultural_0013_patch00332.png,20.8772,531.3263,0.4229
agricultural_0013_patch00333.png,20.8167,538.7802,0.4279
agricultural_0013_patch00334.png,20.8229,538.0082,0.4471
agricultural_0013_patch00335.png,20.822,538.1211,0.4407
agricultural_0013_patch00336.png,20.7953,541.4355,0.4259
agricultural_0013_patch00337.png,20.8131,539.2298,0.4163
agricultural_0013_patch00338.png,20.8313,536.974,0.4275
agricultural_0013_patch00339.png,20.7814,543.1772,0.4502
agricultural_0013_patch00340.png,20.7562,546.3332,0.4413
agricultural_0013_patch00341.png,20.767,544.9748,0.4332
agricultural_0013_patch00342.png,20.7655,545.1732,0.4212
agricultural_0013_patch00343.png,20.7728,544.246,0.436
agricultural_0013_patch00344.png,20.761,545.7356,0.4534
agricultural_0013_patch00345.png,20.7262,550.1184,0.433
agricultural_0013_patch00346.png,20.764,545.3532,0.4297
agricultural_0013_patch00347.png,20.764,545.353,0.4278
agricultural_0013_patch00348.png,20.7036,552.9904,0.4395
agricultural_0013_patch00349.png,20.6979,553.7255,0.45
agricultural_0014_patch00350.png,18.4131,937.0682,0.4769
agricultural_0014_patch00351.png,18.6469,887.9542,0.4729
agricultural_0014_patch00352.png,18.6476,887.8177,0.4764
agricultural_0014_patch00353.png,18.5512,907.7295,0.4737
agricultural_0014_patch00354.png,18.5062,917.1854,0.4694
agricultural_0014_patch00355.png,18.503,917.8587,0.4774
agricultural_0014_patch00356.png,18.6477,887.7921,0.4777
agricultural_0014_patch00357.png,18.5777,902.2075,0.4777
agricultural_0014_patch00358.png,18.4495,929.2549,0.4797
agricultural_0014_patch00359.png,18.3809,944.0445,0.4697
agricultural_0014_patch00360.png,18.5145,915.443,0.4673
agricultural_0014_patch00361.png,18.6019,897.2084,0.4673
agricultural_0014_patch00362.png,18.5202,914.2466,0.4757
agricultural_0014_patch00363.png,18.3917,941.6888,0.4797
agricultural_0014_patch00364.png,18.3297,955.2369,0.475
agricultural_0014_patch00365.png,18.6474,887.8591,0.473
agricultural_0014_patch00366.png,18.6111,895.3071,0.4738
agricultural_0014_patch00367.png,18.5176,914.7951,0.4799
agricultural_0014_patch00368.png,18.3997,939.957,0.4747
agricultural_0014_patch00369.png,18.3249,956.2841,0.4758
agricultural_0014_patch00370.png,18.5742,902.9447,0.4749
agricultural_0014_patch00371.png,18.5947,898.6891,0.4777
agricultural_0014_patch00372.png,18.477,923.3715,0.4811
agricultural_0014_patch00373.png,18.4199,935.6081,0.4766
agricultural_0014_patch00374.png,18.3275,955.728,0.4803
agricultural_0015_patch00375.png,17.3344,1201.2668,0.4551
agricultural_0015_patch00376.png,17.2333,1229.5497,0.452
agricultural_0015_patch00377.png,17.2658,1220.3872,0.4504
agricultural_0015_patch00378.png,17.2663,1220.2638,0.454
agricultural_0015_patch00379.png,17.3245,1204.02,0.4639
agricultural_0015_patch00380.png,17.1371,1257.0886,0.4428
agricultural_0015_patch00381.png,17.2237,1232.2836,0.4511
agricultural_0015_patch00382.png,17.2913,1213.2576,0.4567
agricultural_0015_patch00383.png,17.2897,1213.692,0.4683
agricultural_0015_patch00384.png,17.2936,1212.6187,0.4739
agricultural_0015_patch00385.png,17.0862,1271.917,0.4426
agricultural_0015_patch00386.png,17.2888,1213.963,0.4564
agricultural_0015_patch00387.png,17.3364,1200.7128,0.46
agricultural_0015_patch00388.png,17.3664,1192.439,0.474
agricultural_0015_patch00389.png,17.3436,1198.73,0.4811
agricultural_0015_patch00390.png,17.1148,1263.585,0.4375
agricultural_0015_patch00391.png,17.2598,1222.0886,0.4506
agricultural_0015_patch00392.png,17.2553,1223.346,0.453
agricultural_0015_patch00393.png,17.3634,1193.2797,0.4802
agricultural_0015_patch00394.png,17.4489,1170.0227,0.5005
agricultural_0015_patch00395.png,17.0962,1268.9999,0.436
agricultural_0015_patch00396.png,17.2317,1230.0281,0.4514
agricultural_0015_patch00397.png,17.2411,1227.3584,0.4632
agricultural_0015_patch00398.png,17.4074,1181.2383,0.4966
agricultural_0015_patch00399.png,17.418,1178.3658,0.5133
agricultural_0016_patch00400.png,27.6409,111.9404,0.8528
agricultural_0016_patch00401.png,27.6297,112.2314,0.857
agricultural_0016_patch00402.png,27.7857,108.2715,0.8664
agricultural_0016_patch00403.png,27.7978,107.969,0.8776
agricultural_0016_patch00404.png,27.9507,104.2343,0.8879
agricultural_0016_patch00405.png,27.5646,113.926,0.8443
agricultural_0016_patch00406.png,27.5471,114.3844,0.852
agricultural_0016_patch00407.png,27.4479,117.0278,0.8622
agricultural_0016_patch00408.png,27.5301,114.8351,0.8821
agricultural_0016_patch00409.png,27.5574,114.1141,0.8889
agricultural_0016_patch00410.png,27.4284,117.5552,0.8448
agricultural_0016_patch00411.png,27.4696,116.4456,0.8495
agricultural_0016_patch00412.png,27.249,122.5119,0.8593
agricultural_0016_patch00413.png,27.3027,121.0059,0.8721
agricultural_0016_patch00414.png,27.2578,122.265,0.8868
agricultural_0016_patch00415.png,27.151,125.308,0.842
agricultural_0016_patch00416.png,27.1523,125.2708,0.8454
agricultural_0016_patch00417.png,27.0541,128.1345,0.8508
agricultural_0016_patch00418.png,27.1401,125.623,0.8667
agricultural_0016_patch00419.png,27.3564,119.521,0.8865
agricultural_0016_patch00420.png,27.0211,129.1141,0.8646
agricultural_0016_patch00421.png,27.3458,119.813,0.8692
agricultural_0016_patch00422.png,27.5074,115.435,0.8738
agricultural_0016_patch00423.png,27.5661,113.8852,0.8702
agricultural_0016_patch00424.png,27.5674,113.8512,0.8851
agricultural_0017_patch00425.png,29.6486,70.5053,0.8524
agricultural_0017_patch00426.png,29.2285,77.6656,0.8321
agricultural_0017_patch00427.png,28.9233,83.3207,0.8359
agricultural_0017_patch00428.png,29.1575,78.9465,0.8582
agricultural_0017_patch00429.png,29.7834,68.3499,0.8833
agricultural_0017_patch00430.png,29.2469,77.3383,0.8255
agricultural_0017_patch00431.png,28.8901,83.9588,0.8159
